"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"6K7FXWG8","journalArticle","2012","Myers, Richard S","Reflections on the Twentieth Anniversary of Planned Parenthood v. Casey","","","","","","Regarded by Michael Paulsen as the worst constitutional decision of all time, Planned Parenthood v. Casey (1992) was a momentous decision. The Court seemed poised to overrule Roe v. Wade. In the end, Justice Kennedy joined with Justices O’Connor and Souter to author the (in)famous joint opinion that upheld the essence of Roe v. Wade while abandoning some of Roe’s key features. Casey has generated a great deal of commentary and been influential in certain respects. On the twentieth anniversary of the decision, this paper examines the Casey decision and assesses its impact on the law of abortion, on the law of substantive due process, and on the role of stare decisis in constitutional litigation.","2012","2022-05-03 13:59:36","2022-05-26 13:37:28","","16","","","","","","","","","","","","","en","","","","","Zotero","","","","/home/lalor/Zotero/storage/VKRSDQHV/Myers - Reflections on the Twentieth Anniversary of Planne.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3EAFM336","journalArticle","2012","Mathie, William","A Hidden Agenda? The Politics of Abortion under a Majority Conservative Canadian Government","","","","","","Canada became one of the only countries in the world with no legal restrictions on abortion when its Supreme Court struck down its existing law in 1988. A very weak law against abortion was defeated by a tie vote of Canada’s Senate in 1990, opposed by opponents of abortion because of its weakness and by friends of abortion happy to have no law. In 2011 Canada’s Conservative party led by Stephen Harper obtained a parliamentary majority. The party included many MPs who wanted to see abortion restricted but its leader had promised to prevent any debate on abortion in the House. His political foes nevertheless accused Harper of having a hidden agenda. This essay explores the dilemma Harper faced as he tried to prevent the debate that many of his supporters wanted and the lessons that might be learned from that experience by Harper’s successor if and when he achieves power.","2012","2022-05-03 13:59:35","2022-05-26 13:38:17","","21","","","","","","","","","","","","","en","","","","","Zotero","","","","/home/lalor/Zotero/storage/CFW2LP78/Mathie - A Hidden Agenda The Politics of Abortion under a .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JXWQJP46","journalArticle","2012","Koloze, Jeff","Latino Literature on the Life Issues","","","","","","This paper considers literature written by American Latino authors who address any of the three life issues: abortion, infanticide, and euthanasia. After surveying literary criticism of recent Latino literature, the paper focuses on works in three separate genres: Tato Laviera’s poem “Jesús Papote” (1981), the prose passage “Silent Dancing” (1990) by Judith Ortiz Cofer, and the film Bella (2006). The paper explicates and critiques these works so that non-Latino audiences can appreciate the themes evoked in the literature.","2012","2022-05-03 13:59:33","2022-05-26 17:46:22","","17","","","","","","","","","","","","","en","","","","","Zotero","","","","/home/lalor/Zotero/storage/65M5KYJT/Koloze - Latino Literature on the Life Issues.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F68Z82IX","journalArticle","2012","Hallen, Cynthia","The Abolition of Chattel Abortion","","","","","","Current events warrant an expanded definition of abortion-on-demand as (1) a violent death sentence, (2) a source of pollution, (3) a dangerous method of birth control, (4) a disempowering deviance, (5) a dismantling of family relations and marital intimacy, and (6) a business for profit, not unlike the slave trade in the nineteenth century. Today’s abortion-rights arguments are parallel to nineteenth-century pro-slavery arguments. Those who said that slaves were not legal persons had to fail. Someday soon the tiny human beings who are not yet born will have protection as legal persons. Medical and technological advances will continue to roll back the frontiers of inner space in defining the genesis of human life. There is no excuse for non-therapeutic elective birth-control chattel abortion. Legal arguments, philosophy proofs, and political slogans cannot justify the extermination of unborn human beings any more than such language could justify the practice of chattel slavery.","2012","2022-05-03 13:59:32","2022-05-26 13:37:50","","16","","","","","","","","","","","","","en","","","","","Zotero","","","","/home/lalor/Zotero/storage/K4ENXHWL/Hallen - The Abolition of Chattel Abortion.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CVEZBMWC","journalArticle","2012","Fehring, Richard J","The Influence of Contraception on Abortion among Women of Reproductive Age in the United States","","","","","","A common notion is that contraception is necessary for women (and couples) to avoid unwanted pregnancies and abortions. The thesis of this paper is that contraception actually leads to more (not less) abortions. On the other hand, the use of natural family planning (NFP) and the acceptance of fertility lend themselves to an openness to life. The specific purpose of the paper is to describe the influence of contraceptive use and of NFP on the likelihood of having an abortion among women of reproductive age. The rate of those who at one time or another used any method of contraception coincides with the likelihood of ever having an abortion to a high degree. By contrast, those who at any time used NFP do not have any significant likelihood of ever having an abortion. From the data studied, it appears that contraception contributes to the likelihood of having an abortion and NFP prevents that likelihood. Promotion of the use of NFP among married couples and chastity among adolescents are ways of contributing to the culture of life.","2012","2022-05-03 13:59:31","2022-05-26 13:41:27","","19","","","","","","","","","","","","","en","","","","","Zotero","","","","/home/lalor/Zotero/storage/EJUIMMZP/Fehring - The Influence of Contraception on Abortion among W.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TU5BWRPE","journalArticle","2012","Duncan, William C","Culture of Life, Culture of Marriage: Examining the Linkages","","","","","","This essay raises the question of the linkage between abortion and marital state. It has becoming increasingly clear that the failure of the parents of a child to marry leads, on average, to poorer outcomes for the children born to them. My research shows that the implicit logic of abortion is linked to the implicit logic of threats to marriage.","2012","2022-05-03 13:59:29","2022-05-26 13:37:41","","13","","","","","","","","","","","","","en","","","","","Zotero","","","","/home/lalor/Zotero/storage/F4S67XE4/Duncan - Culture of Life, Culture of Marriage Examining th.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2PSEVDB6","journalArticle","2012","Bellinger, Charles K","René Girard and the History of Rights Language","","","","","","Rights language is an important aspect of contemporary American politics and cultural discussion. It is also very puzzling, for there is so little consensus concerning what rights language means. When advocates of widely differing, and perhaps opposing, social policies invoke rights language and believe that it decisively supports their cause, both the importance and the puzzling nature of rights are brought to the forefront of our consciousness. The abortion debate is a particularly clear example of this. I will refer to it from time to time below, even though this essay is not focused on abortion per se. I will outline some of the competing philosophical schools of thought on rights, with attention to their historical roots. I will then propose an approach to rights language that I find to be implied in the writings of French author René Girard, an approach that differs in significant ways from the various schools of thought. Girard’s reflections will lead to a reconsideration of a key figure in the history of political thought, John Locke. I will argue that Locke’s approach to rights fits well with Girard’s historical narrative. I seek to establish that the current disarray in the use of rights language could be reduced if more attention were paid to Girard’s suggestion that the purpose of rights language is to build a linguistic hedge around human beings to prevent them from being victimized.","2012","2022-05-03 13:59:28","2022-05-26 13:38:01","","25","","","","","","","","","","","","","en","","","","","Zotero","","","","/home/lalor/Zotero/storage/PZG8PN8T/Bellinger - René Girard and the History of Rights Language.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BXFZF5U7","journalArticle","2011","Stith, Richard","Anti-Choice: When Having a Choice Diminishes Family Solidarity","","","","","","This article explores a little-noticed dimension of abortion and assisted suicide (or voluntary euthanasia): how choosing to reject those options can have a negative impact on the legally authorized choosers. Women who refuse abortion may be blamed for their choice by boyfriends, neighbors, employers, and others. Similarly, infirm or dying persons may find family and other caregivers upset by their refusal to agree to assisted suicide when voluntary death seems the sensible option. Finally, the author questions whether a life chosen as an option can ever have the dignity of a life simply accepted; that is, whether the child whom a mother once chose not to abort suffers from her having been able to choose otherwise, and whether the severely disabled but suiciderejecting person suffers from having to justify her continued existence.","2011","2022-05-03 13:59:26","2022-05-26 13:42:06","","38","","","","","","","","","","","","","en","","","","","Zotero","","","","/home/lalor/Zotero/storage/DWGVADJZ/Stith - Anti-Choice When Having a Choice Diminishes Famil.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D6JUWGZ7","journalArticle","2011","Saunders, William L","The San Jose Articles and an International Right to Abortion","","","","","","Abortion advocates are on a mission to establish an “international” right to abortion using “soft norms” under customary international law. Their ultimate goal is to weave throughout the various sources of customary international law language implying an international consensus that abortion is a necessary component of fundamental health services that must be provided by States to their citizens. If national bodies, including courts, accept the notion that an international customary law right to abortion exists, those bodies could impose it upon their citizens.","2011","2022-05-03 13:59:25","2022-05-26 13:41:51","","26","","","","","","","","","","","","","en","","","","","Zotero","","","","/home/lalor/Zotero/storage/4RIC9VL6/Saunders - The San Jose Articles and an International Right t.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DQLIXLER","journalArticle","2011","Manchester, Eric","Distinguishing Secular and Theological Justifications of the First Amendment: Implications for Pro-Life Legislation","","","","","","The contention of the First Amendment of the U.S. Constitution that government may neither establish any religion nor prevent the free exercise of religion allows for these restrictions to be conceptually justified on either theological or secular terms. Consequently, there is no prima facie reason to insist that the enactment of laws, including those concerning “life issues,” cannot be motivated by particular religious convictions so long as the legislation does not mandate religion as such. This is even more evident when one considers that (1) any attempt to prohibit such influence would illicitly stipulate that one is not free to exercise one’s religious convictions in this way, and (2) that the coupling of clauses on religious liberty with further clauses in the Bill of Rights protecting free speech, assembly, and petition suggests a presumption that religious convictions will be able to play a role in the formation of public policy. Given this, I propose a principle of equitability whereby laws can reflect pro-life religious convictions so long as legislation reflecting contrary convictions remains possible, with certain occupational protections built in for cases where judicial rulings prevent pro-life legislation. Finally, I argue that insofar as the First Amendment itself may be thought to be justified on theological grounds, it is reasonable to form laws protecting human life at all stages based on the conviction that rights are rooted in the divine creation of human biological nature directed toward rational self-awareness and freedom, rather than simply on the actual exercise of such awareness in humans who have reached certain stages of development.","2011","2022-05-03 13:59:24","2022-05-26 13:43:51","","22","","","","","","","","","","","","","en","","","","","Zotero","","","","/home/lalor/Zotero/storage/WNKXAA3J/Manchester - Distinguishing Secular and Theological Justificati.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9KJA45J2","journalArticle","2011","Mackura, Denise","The American Experience of Abortion: An Interdisciplinary Approach","","","","","","This is a brief overview of the history of abortion in the United States, from colonial times to the present. Factors such as family structure, the role of children in a family’s economic life, the science of embryology, social mores, attitudes toward women, and political power have had an impact on the legal treatment of unborn children and their mothers. Legal changes were brought about in response to these changes and the interaction of factors must be considered when planning further course of action. Abortion presents a question that is core to our understanding of American democracy.","2011","2022-05-03 13:59:23","2022-05-26 13:44:27","","7","","","","","","","","","","","","","en","","","","","Zotero","","","","/home/lalor/Zotero/storage/4M6Y9868/Mackura - The American Experience of Abortion An Interdisci.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3V2LMQB3","journalArticle","2011","Koloze, Jeff","Contemporary Jewish Fiction on Abortion: Ethical Considerations from Various Responsa and their Absence in Recent Jewish-American Fiction","","","","","","This paper collates several major ethical considerations from responsa concerning abortion as pronounced by rabbinic authorities from various branches of Judaism. It then examines twentieth- and twenty-first century JewishAmerican novels and short stories that concern abortion, discusses the absence of these major ethical principles in the literature, and offers insights regarding the application of these principles. Finally, it suggests the trajectory of future JewishAmerican fiction vis-à-vis these ethical pronouncements.","2011","2022-05-03 13:59:22","2022-05-26 13:44:12","","24","","","","","","","","","","","","","en","","","","","Zotero","","","","/home/lalor/Zotero/storage/C93NW3EC/Koloze - Contemporary Jewish Fiction on Abortion.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
